frame;id;AccelerationEgo;VelocityEgo;XPosition;YPosition;YawAngle
1040;1; -2.044245; 19.208624; 81.702988; 1.858751; 3.146529
1050;0;-0.751693; 8.192472; -31.196269; -9.176621; -0.010275
1050;1; -4.192844; 19.188182; 81.510905; 1.857751; 3.146353
1060;0;-1.942635; 8.184955; -31.114348; -9.177445; -0.010341
1060;1; -1.299859; 19.230110; 81.319026; 1.856760; 3.146176
1070;0;-1.720097; 8.165529; -31.032503; -9.178283; -0.010414
1070;1; -1.981476; 19.217111; 81.126727; 1.855778; 3.146003
1080;0;3.089714; 8.148328; -30.950852; -9.179133; -0.010493
1080;1; -4.193012; 19.197295; 80.934558; 1.854806; 3.145827
1090;0;2.009621; 8.179225; -30.869373; -9.179993; -0.010576
1090;1; -1.398524; 19.239224; 80.742588; 1.853846; 3.145648
1100;0;-1.342021; 8.199321; -30.787586; -9.180858; -0.010657
1100;1; -2.080863; 19.225238; 80.550198; 1.852897; 3.145475
1110;0;-2.133892; 8.185901; -30.705597; -9.181731; -0.010734
1110;1; -4.193575; 19.204428; 80.357948; 1.851960; 3.145298
1120;0;3.142491; 8.164562; -30.623743; -9.182602; -0.010806
1120;1; -1.469404; 19.246362; 80.165906; 1.851038; 3.145118
1130;0;-0.677740; 8.195987; -30.542102; -9.183469; -0.010870
1130;1; -2.152360; 19.231667; 79.973444; 1.850129; 3.144945
1140;0;-1.885315; 8.189210; -30.460146; -9.184335; -0.010929
1140;1; -4.193703; 19.210141; 79.781130; 1.849235; 3.144768
1150;0;-1.695776; 8.170358; -30.378259; -9.185193; -0.010978
1150;1; -1.520398; 19.252076; 79.589030; 1.848358; 3.144587
1160;0;3.086287; 8.153401; -30.296560; -9.186038; -0.011013
1160;1; -2.203814; 19.236869; 79.396511; 1.847498; 3.144416
1170;0;-0.179006; 8.184263; -30.215030; -9.186871; -0.011034
1170;1; -1.997678; 19.214829; 79.204145; 1.846653; 3.144239
1180;0;-1.364828; 8.182472; -30.133192; -9.187715; -0.011060
1180;1; -4.188576; 19.194849; 79.011998; 1.845826; 3.144059
1190;0;3.044202; 8.168823; -30.051371; -9.188567; -0.011091
1190;1; -1.270275; 19.236731; 78.820051; 1.845018; 3.143876
1200;0;1.600878; 8.199265; -29.969688; -9.189428; -0.011125
1200;1; -1.952381; 19.224026; 78.627686; 1.844229; 3.143704
1210;0;-1.759106; 8.215274; -29.887700; -9.190296; -0.011160
1210;1; -3.586086; 19.204499; 78.435447; 1.843457; 3.143526
1220;0;-2.403645; 8.197682; -29.805551; -9.191172; -0.011193
1220;1; -1.379780; 19.240356; 78.243403; 1.842703; 3.143345
1230;0;3.177045; 8.173646; -29.723579; -9.192048; -0.011223
1230;1; -1.968548; 19.226555; 78.051001; 1.841964; 3.143207
1240;0;-0.703706; 8.205416; -29.641848; -9.192923; -0.011249
1240;1; -3.584877; 19.206865; 77.858737; 1.841243; 3.143063
1250;0;-1.925007; 8.198380; -29.559798; -9.193800; -0.011273
1250;1; -1.383653; 19.242710; 77.666670; 1.840542; 3.142916
1260;0;-1.727857; 8.179130; -29.477819; -9.194673; -0.011291
1260;1; -1.972538; 19.228868; 77.474244; 1.839860; 3.142806
1270;0;3.090446; 8.161852; -29.396032; -9.195537; -0.011299
1270;1; -1.785275; 19.209137; 77.281956; 1.839202; 3.142685
1280;0;-0.197571; 8.192757; -29.314418; -9.196392; -0.011299
1280;1; -3.563813; 19.191279; 77.089866; 1.838571; 3.142553
1290;0;-1.390544; 8.190782; -29.232495; -9.197246; -0.011299
1290;1; -1.123590; 19.226913; 76.897954; 1.837966; 3.142410
1300;0;-1.372840; 8.176877; -29.150592; -9.198092; -0.011291
1300;1; -1.708691; 19.215672; 76.705686; 1.837379; 3.142307
1310;0;3.045121; 8.163148; -29.068827; -9.198926; -0.011271
1310;1; -3.558342; 19.198580; 76.513530; 1.836816; 3.142193
1320;0;-0.145623; 8.193598; -28.987200; -9.199772; -0.011259
1320;1; -1.193155; 19.234159; 76.321545; 1.836277; 3.142068
1330;0;-1.318329; 8.192141; -28.905268; -9.200629; -0.011250
1330;1; -1.777744; 19.222223; 76.129204; 1.835758; 3.141982
1340;0;-1.320258; 8.178958; -28.823352; -9.201493; -0.011246
1340;1; -3.563061; 19.204440; 75.936982; 1.835262; 3.141884
1350;0;3.038322; 8.165755; -28.741567; -9.202363; -0.011246
1350;1; -1.242295; 19.240066; 75.744939; 1.834791; 3.141775
1360;0;-0.161005; 8.196138; -28.659914; -9.203239; -0.011246
1360;1; -1.827845; 19.227638; 75.552538; 1.834340; 3.141704
1370;0;-1.330753; 8.194528; -28.577957; -9.204119; -0.011246
1370;1; -1.654284; 19.209355; 75.360262; 1.833911; 3.141620
1380;0;3.039651; 8.181220; -28.496017; -9.205001; -0.011245
1380;1; 3.561656; 19.192808; 75.168169; 1.833508; 3.141525
1390;0;-0.603105; 8.211617; -28.414209; -9.205880; -0.011242
1390;1; -1.036229; 19.228422; 74.976242; 1.833123; 3.141425
1400;0;-1.774623; 8.205586; -28.332098; -9.206761; -0.011237
1400;1; -1.620559; 19.218057; 74.783958; 1.832752; 3.141367
1410;0;-1.616072; 8.187840; -28.250047; -9.207638; -0.011229
1410;1; -1.486173; 19.201847; 74.591778; 1.832397; 3.141303
